"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/09/2017","Gig Car Share","GIG CAR SHARE","0.50","debit","Rental Car & Taxi","Discover","",""
"9/09/2017","Gig Car Share","GIG CAR SHARE","0.50","debit","Rental Car & Taxi","Discover","",""
"9/10/2017","Lyft","LYFT *RIDE SUN 2PM 855-280-0278 CA","15.38","debit","Rental Car & Taxi","Discover","",""
"9/10/2017","Lyft","LYFT *RIDE SUN 4PM 855-280-0278 CA","10.88","debit","Rental Car & Taxi","Discover","",""
"9/09/2017","Cafe Durant","CAFE DURANT BERKELEY CA","9.66","debit","Restaurants","Discover","",""
"9/08/2017","Diyar Mediterranean Cusi","DIYAR MEDITERRANEAN CUSI BERKELEY CA","8.73","debit","Restaurants","Discover","",""
"8/31/2017","Raleighs Pub","RALEIGHS PUB BERKELEY CA","10.87","debit","Alcohol & Bars","Discover","",""
"8/31/2017","Internet Thank You","INTERNET PAYMENT - THANK YOU","225.61","credit","Credit Card Payment","Discover","",""
"8/29/2017","Internet Thank You","INTERNET PAYMENT - THANK YOU","155.53","credit","Credit Card Payment","Discover","",""
"8/29/2017","Ucb Recreational Sports","UCB RECREATIONAL SPORTS 510-642-7796 CA","25.00","debit","Gym","Discover","",""
"8/27/2017","Berkeley Bowl Markesbe","BERKELEY BOWL MARKESBE BERKELEY CA","200.61","debit","Groceries","Discover","",""
"8/26/2017","Chengdu Style Restaurant","CHENGDU STYLE RESTAURANT BERKELEY CA","63.00","debit","Restaurants","Discover","",""
"8/25/2017","V A Cafe","SQ *V&A CAFE BERKELEY CA0002305843011213890465","3.00","debit","Restaurants","Discover","",""
"8/25/2017","Lyft","LYFT *RIDE FRI 12PM 855-280-0278 CA","11.69","debit","Rental Car & Taxi","Discover","",""
"8/25/2017","Lyft","LYFT *RIDE FRI 12PM 855-280-0278 CA","35.11","debit","Rental Car & Taxi","Discover","",""
"8/25/2017","L Epi D","SQ *L'EPI D'OR BAKERY CUPERTINO CA0001152921507727","4.99","debit","Restaurants","Discover","",""
"8/25/2017","Lyft","LYFT *RIDE FRI 10AM 855-280-0278 CA","30.85","debit","Rental Car & Taxi","Discover","",""
"8/24/2017","Transfer from BofA Core Checking","INTERNET PAYMENT - THANK YOU","383.82","credit","Credit Card Payment","Discover","",""
"8/23/2017","Laval's Pizza","LAVAL'S PIZZA BERKELEY CA","6.89","debit","Fast Food","Discover","",""
"8/21/2017","Chick-Fil-A","CHICK-FIL-A #02765 WALNUT CREEK CA","8.39","debit","Fast Food","Discover","",""
"8/21/2017","Tea 1","SQ *TEA 1 BERKELEY BERKELEY CA00023058430112090692","4.25","debit","Fast Food","Discover","",""
"8/21/2017","Amazon","AMAZON.COM AMZN.COM/BILLWA6M1Q94EWTEI","15.32","debit","Shopping","Discover","",""
"8/20/2017","Amazon","AMAZON.COM AMZN.COM/BILLWA49VLZN1FMGG","15.42","debit","Shopping","Discover","",""
"8/20/2017","Lyft","LYFT *RIDE SUN 7PM 855-280-0278 CA","6.50","debit","Rental Car & Taxi","Discover","",""
"8/19/2017","Comcast","COMCAST CALIFORN CS 1X 800-266-2278 CA73603189Y5CV","39.99","debit","Television","Discover","",""
"8/18/2017","Lyft","LYFT *RIDE FRI 8PM 855-280-0278 CA","7.09","debit","Rental Car & Taxi","Discover","",""
"8/17/2017","Laval's Pizza","LAVAL'S PIZZA BERKELEY CA","8.75","debit","Fast Food","Discover","",""
