Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/15/17,La Burrita,LA BURRITA BERKELEY CA,4.92,debit,Food,Discover,,
9/14/17,Poke Bar,POKE PARLOR BERKELEY CA,10.32,debit,Food,Discover,,
9/14/17,The Snack Shack,SQ *THE SNACK SHACK Berkeley CA,6.02,debit,Food,Discover,,
9/13/17,Tacos Sinaloa Berkeley,TACOS SINALOA BERKELEY BERKELEY CA,9.31,debit,Food,Discover,,
9/13/17,Urbann Turbann,SQ *URBANN TURBANN BERKELEY CA,9.8,debit,Food,Discover,,
9/13/17,Racha Caf_,RACHA CAFE BERKELEY CA,9.7,debit,Food,Discover,,
9/9/17,Gig Car Share,GIG CAR SHARE,0.5,debit,Transportation,Discover,,
9/9/17,Gig Car Share,GIG CAR SHARE,0.5,debit,Transportation,Discover,,
9/10/17,Lyft,LYFT *RIDE SUN 2PM 855-280-0278 CA,15.38,debit,Transportation,Discover,,
9/10/17,Lyft,LYFT *RIDE SUN 4PM 855-280-0278 CA,10.88,debit,Transportation,Discover,,
9/9/17,Cafe Durant,CAFE DURANT BERKELEY CA,9.66,debit,Restaurants,Discover,,
9/8/17,Diyar Mediterranean Cusi,DIYAR MEDITERRANEAN CUSI BERKELEY CA,8.73,debit,Restaurants,Discover,,
8/31/17,Raleighs Pub,RALEIGHS PUB BERKELEY CA,10.87,debit,Restaurants,Discover,,
8/31/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,225.61,credit,Credit Card Payment,Discover,,
8/29/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,155.53,credit,Credit Card Payment,Discover,,
8/29/17,Ucb Recreational Sports,UCB RECREATIONAL SPORTS 510-642-7796 CA,25,debit,Entertainment,Discover,,
8/27/17,Berkeley Bowl Markesbe,BERKELEY BOWL MARKESBE BERKELEY CA,200.61,debit,Food,Discover,,
8/26/17,Chengdu Style Restaurant,CHENGDU STYLE RESTAURANT BERKELEY CA,63,debit,Restaurants,Discover,,
8/25/17,V A Cafe,SQ *V&A CAFE BERKELEY CA0002305843011213890465,3,debit,Restaurants,Discover,,
8/25/17,Lyft,LYFT *RIDE FRI 12PM 855-280-0278 CA,11.69,debit,Transportation,Discover,,
8/25/17,Lyft,LYFT *RIDE FRI 12PM 855-280-0278 CA,35.11,debit,Transportation,Discover,,
8/25/17,L Epi D,SQ *L'EPI D'OR BAKERY CUPERTINO CA0001152921507727,4.99,debit,Restaurants,Discover,,
8/25/17,Lyft,LYFT *RIDE FRI 10AM 855-280-0278 CA,30.85,debit,Transportation,Discover,,
8/24/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,383.82,credit,Credit Card Payment,Discover,,
8/23/17,Laval's Pizza,LAVAL'S PIZZA BERKELEY CA,6.89,debit,Restaurants,Discover,,
8/21/17,Chick-Fil-A,CHICK-FIL-A #02765 WALNUT CREEK CA,8.39,debit,Restaurants,Discover,,
8/21/17,Tea 1,SQ *TEA 1 BERKELEY BERKELEY CA00023058430112090692,4.25,debit,Restaurants,Discover,,
8/21/17,Amazon,AMAZON.COM AMZN.COM/BILLWA6M1Q94EWTEI,15.32,debit,Shopping,Discover,,
8/20/17,Amazon,AMAZON.COM AMZN.COM/BILLWA49VLZN1FMGG,15.42,debit,Shopping,Discover,,
8/20/17,Lyft,LYFT *RIDE SUN 7PM 855-280-0278 CA,6.5,debit,Transportation,Discover,,
8/19/17,Comcast,COMCAST CALIFORN CS 1X 800-266-2278 CA73603189Y5CV,39.99,debit,Entertainment,Discover,,
8/18/17,Lyft,LYFT *RIDE FRI 8PM 855-280-0278 CA,7.09,debit,Transportation,Discover,,
8/17/17,Laval's Pizza,LAVAL'S PIZZA BERKELEY CA,8.75,debit,Restaurants,Discover,,
8/13/17,Diyar Mediterranean Cusi,DIYAR MEDITERRANEAN CUSI BERKELEY CA,18.55,debit,Restaurants,Discover,,
8/12/17,Lyft,LYFT *RIDE SAT 3PM 855-280-0278 CA,6.5,debit,Transportation,Discover,,
8/12/17,Safeway,SAFEWAY STORE 0691 BERKELEY CA,93.2,debit,Food,Discover,,
8/11/17,La Burrita,LA BURRITA BERKELEY CA,8.97,debit,Restaurants,Discover,,
8/7/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1D6NRUY0SNB,12.95,debit,Shopping,Discover,,
8/6/17,Lyft,LYFT *RIDE SUN 1PM 855-280-0278 CA,5.27,debit,Transportation,Discover,,
